t,controller,trajectory,run_id,odom_x,odom_y,odom_yaw,odom_v,odom_w,desired_x,desired_y,desired_yaw,error_ex,error_ey,error_etheta,cmd_v,cmd_w
30.5,Backstepping,circle,sim,-0.4180931057463075,0.08886795588338582,-0.4275955490211711,0.20148588424849026,0.20113870492970293,-0.4197640178398589,0.09236672090158649,-0.433185307179586,0.0010483673069406093,0.0024788815623958717,-0.0015669840598208085,0.20083844830169836,0.19993627641511116
30.52,Backstepping,circle,sim,-0.414425795822818,0.08719671127483966,-0.42357390081335705,0.20150819224363403,0.20108241039070215,-0.4161301362972143,0.09069493036425791,-0.4291853071795864,0.0010286172594028056,0.0024764957794209358,-0.001589758158415333,0.20082264107447526,0.1999169119831024
30.54,Backstepping,circle,sim,-0.4107515227499743,0.08554010628678768,-0.4195490528291249,0.2015230923508719,0.20124239921160436,-0.41248959668126556,0.08903768868864459,-0.42518530717958597,0.0010084085043198568,0.0024741012999276667,-0.0016114063662289182,0.20080646714046438,0.199898444088879
30.560000000000002,Backstepping,circle,sim,-0.40707202524355496,0.08389893347583241,-0.415524702046961,0.2014457128804489,0.20121753910819531,-0.4088424572405697,0.08739502239057839,-0.4211853071795855,0.0009878998784310048,0.0024716995572877003,-0.0016362543504606084,0.20079005216997461,0.1998774128912349
30.580000000000002,Backstepping,circle,sim,-0.40338516120635465,0.08227223219790776,-0.4115025961587843,0.20148897908075972,0.20110529440883712,-0.4051887763292808,0.08576695775268539,-0.4171853071795859,0.0009689277385285498,0.0024692752397286245,-0.001660605132624893,0.20077486642994555,0.19985676861954313
30.6,Backstepping,circle,sim,-0.399692420398801,0.08066065062540152,-0.40747727216792534,0.20145427419524892,0.20126619954294742,-0.4015286124062138,0.08415352082396443,-0.41318530717958546,0.0009490747834593717,0.002466835502670619,-0.001682711020801142,0.20075897667519638,0.19983791285992408
30.62,Backstepping,circle,sim,-0.39599300262091736,0.07906385168813802,-0.40344941693364184,0.20146624246612124,0.20139276171417564,-0.3978620240339151,0.08255473741937258,-0.4091853071795859,0.0009299138722371217,0.0024643814286558975,-0.001708035011660558,0.20074363935950054,0.19981647574082542
30.64,Backstepping,circle,sim,-0.3922863114805464,0.07748159427845841,-0.39942269238439754,0.20151363304123412,0.20133622746221547,-0.39418906987771957,0.08097063311940988,-0.4051853071795864,0.0009105097291397875,0.0024619018668025866,-0.0017358902459445602,0.2007281064518929,0.19979300139674738
30.66,Backstepping,circle,sim,-0.3885725743290154,0.07591397799015487,-0.3953960747042137,0.20155188201810675,0.20133088400919336,-0.3905098087048145,0.07940123326971094,-0.4011853071795859,0.0008901447537366822,0.002459393885963603,-0.0017626147951883553,0.20071180512197817,0.19977041795925987
30.68,Backstepping,circle,sim,-0.3848514307777289,0.0743608588993968,-0.39136991830795753,0.20161279869689663,0.20130781981280713,-0.3868242993833019,0.07784656298064063,-0.3971853071795864,0.0008690042049735002,0.0024568642052418734,-0.001789232475372715,0.20069488322877913,0.1997479096019464
30.7,Backstepping,circle,sim,-0.3811238765471119,0.07282265678334708,-0.38734461807275417,0.20162295437282401,0.20126501176016887,-0.38313260088125056,0.07630664712688962,-0.39318530717958594,0.0008466337808694414,0.002454318496114148,-0.0018153888716284097,0.20067697746111052,0.1997257625785469
30.72,Backstepping,circle,sim,-0.3773891036815141,0.07129904035475854,-0.38331906498001567,0.2016800397849913,0.20127765463692499,-0.37943477226575945,0.07478151034707958,-0.3891853071795864,0.0008240476771527815,0.0024517597727366693,-0.0018406891068322162,0.2006588993281791,0.1997042942369818
30.740000000000002,Backstepping,circle,sim,-0.373649084450865,0.0697908162581212,-0.37929567915291323,0.20163384990684746,0.20116929135512265,-0.37573087270200584,0.07327117704336561,-0.38518530717958593,0.0008003099871599921,0.002449195178911446,-0.0018662421995702672,0.20063989970383436,0.19968262079286916
30.76,Backstepping,circle,sim,-0.3699027571684171,0.06829754417909138,-0.3752741452771637,0.20164839206663276,0.20107669378747522,-0.37202096145230457,0.07177567138104868,-0.38118530717958543,0.0007774802567393439,0.0024466219176311928,-0.0018896280266721965,0.20062162713608983,0.1996626769987629
30.78,Backstepping,circle,sim,-0.36615075613154585,0.06681946876428525,-0.3712547486854117,0.2016322067065255,0.20096982958759887,-0.36830509787515736,0.07029501728818799,-0.37718530717958587,0.0007543446258595544,0.002444049554395334,-0.001911161902422187,0.2006031104468171,0.19964421519491785
30.8,Backstepping,circle,sim,-0.3623930155140686,0.0653565526262041,-0.3672349853163477,0.20162302804551316,0.20098816845320114,-0.3645833414243013,0.06882923845521693,-0.3731853071795863,0.0007315169858692438,0.002441484379319036,-0.0019305584941746168,0.20058484088320122,0.1996274666661066
30.82,Backstepping,circle,sim,-0.3586286350856519,0.06390844974328665,-0.36321562480577446,0.20166532900675258,0.20096802552866205,-0.36085575164775946,0.06737835833456529,-0.3691853071795859,0.0007088633804211882,0.0024389323944954866,-0.0019503218632382358,0.2005667103289205,0.1996104310479067
30.84,Backstepping,circle,sim,-0.3548570019000217,0.06247493296565529,-0.35919678840991903,0.2017435701496938,0.20094181979277265,-0.3571223881868903,0.06594240014028474,-0.36518530717958636,0.000685352392669392,0.0024363961162627086,-0.0019696823738118985,0.20054789394939557,0.19959372525564648
30.86,Backstepping,circle,sim,-0.35107758461616384,0.061055814238749805,-0.35517671649370064,0.20185324475084077,0.20100359581092347,-0.3533833107754279,0.06452138684767506,-0.36118530717958586,0.0006602650066203196,0.002433883551645994,-0.001988518769666825,0.20052781658473684,0.19957745013745837
30.88,Backstepping,circle,sim,-0.3472928103093503,0.05965201818611713,-0.3511580619019003,0.20183631927197374,0.20093272959001693,-0.3496385792385328,0.06311534119291917,-0.3571853071795863,0.0006329769541199038,0.0024314045174249114,-0.0020085906858856584,0.20050597811977722,0.19956020270012612
30.900000000000002,Backstepping,circle,sim,-0.34350521060938033,0.05826446353661973,-0.34714009983633504,0.20168799786151212,0.20089810327826696,-0.345888253491828,0.06172428567271715,-0.3531853071795859,0.00060601389783304,0.002428954414002261,-0.002027245277685608,0.20048440014606558,0.19954410300742803
30.92,Backstepping,circle,sim,-0.3397121692846705,0.05689217571709635,-0.34311944759213686,0.20168252496540479,0.2010326122099082,-0.3421323935404463,0.06034824254392779,-0.34918530717958546,0.0005820056357954565,0.0024265265496088767,-0.0020452073432504214,0.2004651862214745,0.19952856800985738
30.94,Backstepping,circle,sim,-0.33591492204674284,0.05553560705276516,-0.3390966230157903,0.2016145153938238,0.20114122881732752,-0.33837105947806756,0.05898723382321214,-0.3451853071795859,0.0005581034995856258,0.002424121380029962,-0.002065859587449037,0.20044605602223678,0.199510891768005
30.96,Backstepping,circle,sim,-0.3321124939765483,0.05419441163469555,-0.3350739328911114,0.201601490436296,0.201134506233943,-0.33460431148595576,0.057641281286680335,-0.34118530717958634,0.0005355569907451317,0.0024217230913308155,-0.0020886841637960396,0.20042800933260113,0.19949148096774794
